02-Oct-2018,,,,,,,,,,,
iShares Russell 3000 ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 02, 2018",,,,,,,,,,
Total Net Assets,"$9,012,794,684.18",,,,,,,,,,
Number of Securities (excluding cash and derivatives),"3,025.00",,,,,,,,,,
Shares Outstanding,"52,300,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.72,229.28,"1,462,169.00","335,246,108.32","335,246,108.32",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.93,115.15,"2,292,554.00","263,987,593.10","263,987,593.10",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.69,"1,971.31","122,971.00","242,413,962.01","242,413,962.01",Consumer Discretionary,2000019,US0231351067,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.40,215.29,"585,969.00","126,153,266.01","126,153,266.01",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.28,113.97,"1,011,631.00","115,295,585.07","115,295,585.07",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,1.27,159.33,"719,288.00","114,604,157.04","114,604,157.04",Communication,B7TL820,US30303M1027,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.27,140.48,"812,094.00","114,082,965.12","114,082,965.12",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.23,86.46,"1,281,491.00","110,797,711.86","110,797,711.86",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.23,"1,200.11","92,102.00","110,532,531.22","110,532,531.22",Communication,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.21,"1,207.64","90,365.00","109,128,388.60","109,128,388.60",Communication,BYVY8G0,US02079K3059,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,0.92,29.58,"2,816,115.00","83,300,681.70","83,300,681.70",Financials,2295677,US0605051046,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.90,149.67,"540,760.00","80,935,549.20","80,935,549.20",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.87,270.63,"289,127.00","78,246,440.01","78,246,440.01",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.86,44.22,"1,754,977.00","77,605,082.94","77,605,082.94",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.83,33.92,"2,198,712.00","74,580,311.04","74,580,311.04",Communication,2831811,US00206R1023,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.80,124.74,"576,166.00","71,870,946.84","71,870,946.84",Energy,2838555,US1667641005,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.79,204.75,"348,630.00","71,381,992.50","71,381,992.50",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.77,49.01,"1,423,999.00","69,790,190.99","69,790,190.99",Information Technology,2198163,US17275R1023,NASDAQ
WFC,WELLS FARGO,Equity,0.76,52.13,"1,313,067.00","68,450,182.71","68,450,182.71",Financials,2649100,US9497461015,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.76,54.42,"1,251,269.00","68,094,058.98","68,094,058.98",Communication,2090571,US92343V1044,New York Stock Exchange Inc.
INTC,INTEL CORPORATION,Equity,0.75,48.10,"1,396,293.00","67,161,693.30","67,161,693.30",Information Technology,2463247,US4581401001,NASDAQ
PG,PROCTER & GAMBLE,Equity,0.71,84.36,"753,432.00","63,559,523.52","63,559,523.52",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
BA,BOEING,Equity,0.70,386.37,"163,850.00","63,306,724.50","63,306,724.50",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.69,222.37,"277,881.00","61,792,397.97","61,792,397.97",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.64,71.75,"805,159.00","57,770,158.25","57,770,158.25",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.61,71.80,"761,488.00","54,674,838.40","54,674,838.40",Financials,2297907,US1729674242,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.60,46.51,"1,157,028.00","53,813,372.28","53,813,372.28",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.59,117.66,"450,954.00","53,059,247.64","53,059,247.64",Communication,2270726,US2546871060,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.56,286.48,"176,045.00","50,433,371.60","50,433,371.60",Information Technology,2379504,US67066G1040,NASDAQ
CMCSA,COMCAST CORP CLASS A,Equity,0.55,35.70,"1,381,910.00","49,334,187.00","49,334,187.00",Communication,2044545,US20030N1019,NASDAQ
NFLX,NETFLIX INC,Equity,0.53,377.14,"126,029.00","47,530,577.06","47,530,577.06",Communication,2857817,US64110L1061,NASDAQ
PEP,PEPSICO INC,Equity,0.52,108.72,"428,490.00","46,585,432.80","46,585,432.80",Consumer Staples,2681511,US7134481081,NASDAQ
DWDP,DOWDUPONT INC,Equity,0.51,64.82,"702,274.00","45,521,400.68","45,521,400.68",Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.48,94.23,"458,348.00","43,190,132.04","43,190,132.04",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.47,153.75,"277,878.00","42,723,742.50","42,723,742.50",Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.47,50.23,"847,507.00","42,570,276.61","42,570,276.61",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.46,95.15,"431,536.00","41,060,650.40","41,060,650.40",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.45,207.67,"195,850.00","40,672,169.50","40,672,169.50",Health Care,2023607,US0311621009,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.45,99.02,"409,269.00","40,525,816.38","40,525,816.38",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
ADBE,ADOBE SYSTEM INC,Equity,0.45,272.00,"148,687.00","40,442,864.00","40,442,864.00",Information Technology,2008154,US00724F1012,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.44,83.52,"469,844.00","39,241,370.88","39,241,370.88",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.43,165.18,"234,899.00","38,800,616.82","38,800,616.82",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.42,73.81,"517,493.00","38,196,158.33","38,196,158.33",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.42,166.03,"226,075.00","37,535,232.25","37,535,232.25",Industrials,2020459,US4385161066,New York Stock Exchange Inc.
MMM,3M,Equity,0.41,215.71,"172,379.00","37,183,874.09","37,183,874.09",Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.41,163.15,"223,759.00","36,506,280.85","36,506,280.85",Industrials,2914734,US9078181081,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.39,61.29,"572,683.00","35,099,741.07","35,099,741.07",Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.37,173.15,"194,472.00","33,672,826.80","33,672,826.80",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.37,157.26,"213,395.00","33,558,497.70","33,558,497.70",Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.36,73.35,"448,426.00","32,892,047.10","32,892,047.10",Information Technology,2714923,US7475251036,NASDAQ
